"bed","row","col","unique.ID","bud.date","flower.date","fruit.date","last.FL.date","last.FR.date","death.date","missing.date","census.date","survey.notes","pop","bud.date_dfp","flower.date_dfp","fruit.date_dfp","last.FL.date_dfp","last.FR.date_dfp","death.date_dfp","missing.date_dfp"
"A",33,"A","1225",2024-01-26,2024-03-19,2024-03-28,2024-05-10,2024-05-16,NA,NA,"17-May","3/1 leaves dead brown- stem turgid correct CSV",NA,53,106,115,158,164,NA,NA
"A",33,"B","532",NA,NA,NA,NA,NA,2024-03-19,NA,NA,"2/16 meristem broken Lots of fruit correct CSV",NA,NA,NA,NA,NA,NA,106,NA
"A",34,"A","717",2024-03-19,2024-04-05,2024-04-19,2024-05-24,2024-05-24,NA,NA,NA,"3/1 leaves dead brown- - stem turgid correct CSV",NA,106,123,137,172,172,NA,NA
"A",34,"B","441",2024-03-08,2024-04-05,2024-04-12,2024-05-10,2024-05-10,NA,NA,NA,NA,NA,95,123,130,158,158,NA,NA
"A",35,"A","429",2024-03-19,2024-04-19,2024-04-26,2024-05-24,NA,NA,NA,NA,"73 last already truit harvested is harvest date",NA,106,137,144,172,NA,NA,NA
"A",35,"B","304",NA,NA,NA,NA,NA,2024-04-12,NA,NA,"correct CSV","YO11",NA,NA,NA,NA,NA,130,NA
"A",36,"A","513",2024-04-19,2024-05-10,2024-05-10,NA,NA,NA,NA,NA,"4/5 leaves dying correct CSV",NA,137,158,158,NA,NA,NA,NA
"A",36,"B","1080",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not harvested?",NA,NA,NA,NA,NA,NA,220,NA
"A",37,"A","743",2024-04-05,2024-04-19,2024-04-26,2024-05-16,2024-05-24,NA,NA,NA,NA,NA,123,137,144,164,172,NA,NA
"A",37,"B","544",NA,NA,NA,NA,NA,2024-04-12,NA,NA,"correct CSV",NA,NA,NA,NA,NA,NA,130,NA
"A",38,"A","1337",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"4/5 leaves dying 11/8 not harvested?",NA,NA,NA,NA,NA,NA,220,NA
"A",38,"B","369",NA,NA,NA,NA,NA,2024-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA
"A",39,"A","1290",NA,NA,NA,NA,NA,2024-05-24,NA,"17-May",NA,NA,NA,NA,NA,NA,NA,172,NA
"A",39,"B","498",2024-03-28,2024-04-19,2024-04-26,2024-05-16,2024-05-16,NA,NA,"17-May",NA,NA,115,137,144,164,164,NA,NA
"A",40,"A","1278",2024-05-24,2024-06-07,2024-06-07,2024-06-17,2024-06-17,NA,NA,NA,NA,NA,172,186,186,196,196,NA,NA
"A",40,"B","353",NA,NA,NA,NA,NA,2024-04-12,NA,NA,"3/19 leaves browning","WL1",NA,NA,NA,NA,NA,130,NA
"A",41,"A","279",NA,NA,NA,NA,NA,2024-11-08,NA,NA,"5/3 white spots","WV",NA,NA,NA,NA,NA,340,NA
"A",41,"B","176",NA,NA,NA,NA,NA,2024-04-19,NA,NA,NA,"WL2",NA,NA,NA,NA,NA,137,NA
"A",42,"A","1068",NA,NA,NA,NA,NA,2024-04-12,NA,NA,"4/5 leaves dying",NA,NA,NA,NA,NA,NA,130,NA
"A",42,"B","655",2024-03-19,2024-04-05,2024-04-19,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,106,123,137,178,178,NA,NA
"A",43,"A","996",2024-04-12,2024-04-19,2024-04-26,2024-05-24,2024-05-24,NA,NA,NA,NA,NA,130,137,144,172,172,NA,NA
"A",43,"B","899",NA,NA,NA,NA,NA,2024-05-24,NA,NA,"harvested",NA,NA,NA,NA,NA,NA,172,NA
"A",44,"A","140",NA,NA,NA,NA,NA,2024-03-19,NA,NA,"3/8 leaves dying stem turgid","WL2",NA,NA,NA,NA,NA,106,NA
"A",44,"B","59",2024-03-19,2024-03-28,2024-04-19,2024-05-10,2024-05-16,NA,NA,"17-May",NA,"TM2",106,115,137,158,164,NA,NA
"A",45,"A","212",NA,NA,NA,NA,NA,NA,NA,NA,"11/8 alive/V","BH",NA,NA,NA,NA,NA,NA,NA
"A",45,"B","1196",2024-03-28,2024-04-26,2024-05-10,2024-05-30,2024-06-07,NA,NA,NA,NA,NA,115,144,158,178,186,NA,NA
"A",46,"A","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",46,"B","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",1,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",1,"D","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",2,"C","1199",2024-03-28,2024-04-12,2024-04-19,2024-05-30,2024-05-30,NA,NA,NA,"2/2 top broken off missing",NA,115,130,137,178,178,NA,NA
"A",2,"D","1281",2024-03-28,2024-04-19,2024-04-26,2024-05-03,2024-05-10,NA,NA,"7-May","5/10 dry",NA,115,137,144,151,158,NA,NA
"A",3,"C","179",NA,NA,NA,NA,NA,2024-03-28,NA,NA,"3/19 leaves wifiting","WL2",NA,NA,NA,NA,NA,115,NA
"A",3,"D","1216",2024-03-08,2024-04-05,2024-04-19,2024-06-07,2024-06-07,NA,NA,NA,NA,NA,95,123,137,186,186,NA,NA
"A",4,"C","1240",2024-05-16,2024-05-24,2024-05-24,2024-06-07,2024-06-17,NA,NA,NA,NA,NA,164,172,172,186,196,NA,NA
"A",4,"D","987",2024-03-19,2024-04-12,2024-05-03,2024-05-30,2024-06-07,NA,NA,NA,NA,NA,106,130,151,178,186,NA,NA
"A",5,"C","501",2024-04-05,2024-04-19,2024-04-26,2024-05-24,2024-05-24,NA,NA,NA,NA,NA,123,137,144,172,172,NA,NA
"A",5,"D","62",2024-03-19,2024-04-05,2024-04-19,2024-05-16,2024-05-16,NA,NA,"17-May",NA,"TM2",106,123,137,164,164,NA,NA
"A",6,"C","215",2024-05-10,2024-05-16,2024-05-24,2024-06-27,2024-06-27,NA,NA,NA,NA,"BH",158,164,172,206,206,NA,NA
"A",6,"D","1071",2024-04-19,2024-04-26,2024-05-03,2024-05-10,2024-05-10,NA,NA,NA,"5/10 dry",NA,137,144,151,158,158,NA,NA
"A",7,"C","143",2024-04-19,2024-05-24,NA,2024-06-07,2024-06-07,NA,NA,NA,NA,"WL2",137,172,NA,186,186,NA,NA
"A",7,"D","1141",2024-04-19,2024-05-10,2024-05-10,2024-06-07,2024-06-07,NA,NA,NA,NA,NA,137,158,158,186,186,NA,NA
"A",8,"C","6",2024-03-01,2024-03-28,2024-04-05,2024-05-03,2024-05-10,NA,NA,"3-May","4/5 branch broken off 4/12 many flowers Lots of fruit Near last Flower","TM2",88,115,123,151,158,NA,NA
"A",8,"D","779",2024-03-28,2024-04-19,2024-04-26,2024-06-07,2024-06-07,NA,NA,NA,NA,NA,115,137,144,186,186,NA,NA
"A",9,"C","999",2024-04-05,2024-05-03,2024-05-03,2024-06-07,2024-06-07,NA,NA,NA,NA,NA,123,151,151,186,186,NA,NA
"A",9,"D","952",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,220,NA
"A",10,"C","747",2024-03-28,2024-04-19,2024-04-26,2024-05-30,2024-06-07,NA,NA,NA,NA,NA,115,137,144,178,186,NA,NA
"A",10,"D","576",NA,NA,NA,NA,NA,NA,2024-02-23,NA,"1/26 ripped out at roots-reburied 2/2 stem pale didn't reestablish: 2/9 stem turgid looks better. 2/16 leaves dying",NA,NA,NA,NA,NA,NA,NA,81
"A",11,"C","2014",NA,NA,NA,NA,NA,2024-11-08,NA,NA,"7/11/24 leaves dying",NA,NA,NA,NA,NA,NA,340,NA
"A",11,"D","239",2024-03-28,2024-04-19,2024-05-03,2024-05-30,2024-05-30,NA,NA,NA,NA,"CC",115,137,151,178,178,NA,NA
"A",12,"C","708",2024-03-19,2024-04-12,2024-04-19,2024-05-24,2024-05-24,NA,NA,NA,NA,NA,106,130,137,172,172,NA,NA
"A",12,"D","1122",NA,NA,NA,NA,NA,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,NA
"A",13,"C","1380",NA,NA,NA,NA,NA,2023-12-21,NA,NA,"12/14-stem broken no lvs. 12/21 dead stem deflated",NA,NA,NA,NA,NA,NA,17,NA
"A",13,"D","1083",2024-04-19,2024-05-03,2024-05-10,2024-06-17,2024-06-17,2024-07-11,NA,NA,"11/8 not harvested",NA,137,151,158,196,196,220,NA
"A",14,"C","796",NA,NA,NA,NA,NA,2024-07-11,NA,"17-May","11/8 not harvested",NA,NA,NA,NA,NA,NA,220,NA
"A",14,"D","1047",2024-04-05,2024-04-19,2024-04-26,2024-05-24,2024-05-30,NA,NA,NA,NA,NA,123,137,144,172,178,NA,NA
"A",15,"C","312",NA,NA,NA,NA,NA,2024-02-23,NA,NA,NA,"YO11",NA,NA,NA,NA,NA,81,NA
"A",15,"D","155",NA,NA,NA,NA,NA,2024-05-10,NA,NA,"11/8 not harvested","WL2",NA,NA,NA,NA,NA,158,NA
"A",16,"C","670",2024-03-19,2024-04-12,2024-04-19,2024-05-16,2024-05-16,NA,NA,NA,NA,NA,106,130,137,164,164,NA,NA
"A",16,"D","432",2024-03-28,2024-04-19,2024-04-26,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,115,137,144,178,178,NA,NA
"A",17,"C","203",2024-05-10,2024-05-16,2024-05-16,2024-06-17,2024-06-17,2024-11-08,NA,NA,NA,"BH",158,164,164,196,196,340,NA
"A",17,"D","1011",NA,NA,NA,NA,NA,2024-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA
"A",18,"C","20",NA,NA,NA,NA,NA,NA,2024-03-01,NA,"1/26 ripped out at roots - reburied. 2/2 lots of dead leaves-stem turgid","TM2",NA,NA,NA,NA,NA,NA,88
"A",18,"D","564",2024-04-05,2024-04-19,2024-04-26,2024-06-07,2024-06-07,2024-11-08,NA,NA,"7/11/24 Withered",NA,123,137,144,186,186,340,NA
"A",19,"C","48",2024-03-08,2024-03-28,2024-04-12,2024-05-10,2024-05-10,NA,NA,NA,"lots of Fruit near last flower","TM2",95,115,130,158,158,NA,NA
"A",19,"D","837",NA,NA,NA,NA,NA,NA,2024-03-01,NA,"3/1 ripped out-missing",NA,NA,NA,NA,NA,NA,NA,88
"A",20,"C","460",NA,NA,NA,NA,NA,2024-05-30,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,178,NA
"A",20,"D","732",2024-03-19,2024-04-05,2024-04-19,2024-05-16,2024-05-16,NA,NA,"17-May",NA,NA,106,123,137,164,164,NA,NA
"A",21,"C","2038",NA,NA,NA,NA,NA,2024-06-27,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,206,NA
"A",21,"D","1153",NA,NA,NA,NA,NA,2024-06-07,NA,NA,"1/26 ripped out at roots - reburied. 2/2 restablished 11/8 not harvested",NA,NA,NA,NA,NA,NA,186,NA
"A",22,"C","2050",2024-04-26,2024-05-03,2024-05-10,2024-06-07,2024-06-17,NA,NA,NA,"11/8 alive / V",NA,144,151,158,186,196,NA,NA
"A",22,"D","2026",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not havested",NA,NA,NA,NA,NA,NA,220,NA
"A",23,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,NA,NA
"A",23,"D","608",2024-03-08,2024-03-28,2024-04-12,2024-06-07,2024-06-07,2024-07-11,NA,NA,"7/11/24 dreed out 11/8 not harvested",NA,95,115,130,186,186,220,NA
"A",24,"C","buffer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",24,"D","469",NA,NA,NA,NA,NA,2024-06-07,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,186,NA
"A",25,"C","776",2024-03-08,2024-04-05,2024-04-12,2024-05-16,2024-05-16,NA,NA,NA,NA,NA,95,123,130,164,164,NA,NA
"A",25,"D","761",2024-04-05,2024-04-19,2024-04-26,2024-05-16,2024-05-24,NA,NA,NA,NA,NA,123,137,144,164,172,NA,NA
"A",26,"C","2011",2024-04-19,2024-04-26,2024-05-03,2024-05-30,2024-05-30,NA,NA,NA,NA,NA,137,144,151,178,178,NA,NA
"A",26,"D","333",2024-03-28,2024-04-12,2024-04-19,2024-05-16,2024-05-24,NA,NA,NA,NA,"SQ3",115,130,137,164,172,NA,NA
"A",27,"C","236",2024-04-05,2024-05-10,2024-05-10,2024-05-30,2024-05-30,NA,NA,NA,NA,"DPR",123,158,158,178,178,NA,NA
"A",27,"D","1057",2024-05-10,2024-05-10,2024-05-10,2024-06-17,2024-06-17,2024-11-08,NA,NA,NA,NA,158,158,158,196,196,340,NA
"A",28,"C","638",2024-03-19,2024-04-12,NA,NA,NA,2024-05-10,NA,NA,"5/10 all dry 11/8 not harvested",NA,106,130,NA,NA,NA,158,NA
"A",28,"D","17",2024-03-19,2024-04-05,2024-04-12,2024-05-10,2024-05-16,NA,NA,NA,"1/26 new tag made Lots of fruit","TM2",106,123,130,158,164,NA,NA
"A",29,"C","980",NA,NA,NA,NA,NA,2024-05-10,NA,NA,"5/10 all dry",NA,NA,NA,NA,NA,NA,158,NA
"A",29,"D","75",2024-03-01,2024-03-28,2024-04-05,2024-05-16,2024-05-16,NA,NA,NA,"Lots of fruit","TM2",88,115,123,164,164,NA,NA
"A",30,"C","116",NA,NA,NA,NA,NA,2024-11-08,NA,NA,NA,"WL2",NA,NA,NA,NA,NA,340,NA
"A",30,"D","224",2024-03-28,2024-04-19,2024-04-26,2024-05-30,2024-05-30,2024-11-08,NA,NA,NA,"DPR",115,137,144,178,178,340,NA
"A",31,"C","200",2024-04-05,2024-04-26,2024-05-10,2024-06-17,2024-06-17,NA,NA,NA,"weird buds 11/8 alive / P","BH",123,144,158,196,196,NA,NA
"A",31,"D","949",NA,NA,NA,NA,NA,2024-03-01,NA,NA,"2/24 leaves dying",NA,NA,NA,NA,NA,NA,88,NA
"A",32,"C","1264",2024-03-19,2024-03-28,2024-04-05,2024-05-10,2024-05-16,NA,NA,NA,"Lots of fruit",NA,106,115,123,158,164,NA,NA
"A",32,"D","1092",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,220,NA
"A",33,"C","164",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not harvested","WL2",NA,NA,NA,NA,NA,220,NA
"A",33,"D","1104",NA,NA,NA,NA,NA,2024-06-27,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,206,NA
"A",34,"C","1008",2024-03-28,2024-04-26,NA,2024-05-30,2024-06-07,2024-07-11,NA,NA,"Lots of fruit 5/10 already marked fruiting",NA,115,144,NA,178,186,220,NA
"A",34,"D","2035",NA,NA,NA,NA,NA,2024-06-07,NA,NA,"11/8 not harvested",NA,NA,NA,NA,NA,NA,186,NA
"A",35,"C","1138",NA,NA,NA,NA,NA,2024-07-03,NA,NA,"2/2 top half missing 11/8 not harvested",NA,NA,NA,NA,NA,NA,212,NA
"A",35,"D","3",2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA,"TM2",106,NA,NA,NA,NA,NA,NA
"A",36,"C","393",NA,NA,NA,NA,NA,2024-03-28,NA,NA,"3/19 leaves dying stem turgid",NA,NA,NA,NA,NA,NA,115,NA
"A",36,"D","45",2024-03-19,2024-04-12,2024-04-19,2024-05-16,2024-05-16,NA,NA,NA,NA,"TM2",106,130,137,164,164,NA,NA
"A",37,"C","104",2024-05-03,2024-05-03,2024-05-10,2024-05-30,2024-05-30,NA,NA,NA,NA,"WL2",151,151,158,178,178,NA,NA
"A",37,"D","29",2024-03-19,2024-04-12,2024-04-19,NA,NA,NA,NA,NA,"white spots 7/3 already harvested","TM2",106,130,137,NA,NA,NA,NA
"A",38,"C","2023",NA,NA,NA,NA,NA,2024-03-19,NA,NA,"3/8 leaves dying stem turgid",NA,NA,NA,NA,NA,NA,106,NA
"A",38,"D","698",2024-04-05,2024-04-19,2024-05-10,2024-06-07,2024-06-07,2024-07-11,NA,NA,"11/8 not harvested",NA,123,137,158,186,186,220,NA
"A",39,"C","667",2024-03-19,2024-04-12,2024-04-26,2024-05-30,2024-05-30,NA,NA,NA,"waspnest (empty?)",NA,106,130,144,178,178,NA,NA
"A",39,"D","453",2024-03-28,2024-04-26,2024-05-03,2024-05-10,2024-05-16,NA,NA,NA,"1/26 ripped out at roots - reburied. 2/2 reestablished",NA,115,144,151,158,164,NA,NA
"A",40,"C","858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",40,"D","1044",NA,NA,NA,NA,NA,2024-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA
"A",41,"C","267",NA,NA,NA,NA,NA,2024-07-11,NA,NA,"11/8 not harvested","WV",NA,NA,NA,NA,NA,220,NA
"A",41,"D","573",2024-04-05,2024-04-26,2024-04-26,2024-05-16,2024-05-30,NA,NA,NA,NA,NA,123,144,144,164,178,NA,NA
"A",42,"C","1237",2024-03-19,2024-04-12,2024-04-19,2024-05-10,2024-05-10,NA,NA,NA,NA,NA,106,130,137,158,158,NA,NA
